Iteration,P_l
0,1.2499742693335778
1,1.9313829499470545
2,2.4875554166274685
3,2.6491417596282036
4,2.963135469851596
5,3.4513396730568005
6,3.638136930030451
7,3.761997190258576
8,3.8286225531246245
9,3.8567039858838896
10,3.8607865887735446
11,3.853241883964031
12,3.8433857243128227
13,3.835583761304187
14,3.8323245587951456
15,3.832876682246539
16,3.835586141929144
17,3.8389974482645544
18,3.8422884547598013
19,3.845240844087034
20,3.84762618861307
21,3.849237219448001
22,3.850265022284643
23,3.8510003860615
24,3.851484038307113
25,3.851795517188731
26,3.8520121084986774
27,3.8521956312946974
