Iteration,P_l
0,1.2499742693335778
1,1.4996721489619615
2,2.4968925822512684
3,2.5106630474615645
4,2.7011441311176982
5,2.930033843782358
6,3.123153301070876
7,3.292879844022299
8,3.4397249340709677
9,3.5675779528123934
10,3.678626091468586
11,3.775161799952596
12,3.8590679726423827
13,3.9319923190592423
14,3.995368498949685
15,4.050462676138489
16,4.098342397645947
17,4.139951940368851
18,4.17612769647717
19,4.207564721898217
20,4.234882630444381
21,4.25862154545937
22,4.2792641873400425
23,4.297200963508077
24,4.312786345457843
25,4.326342501926469
26,4.338120375493491
27,4.348352311738838
28,4.357256108705861
29,4.364990440585454
30,4.371708006410271
31,4.377541673195382
32,4.382622186962572
