Iteration,P_l
0,1.2499742693335778
1,2.395832153521645
2,3.394128039746902
3,4.261500640130436
4,5.014990939147448
5,5.669544952417565
6,6.238169216789709
7,6.732129237555695
8,7.1612281912630635
9,7.533982840249122
10,7.857806084455921
11,8.139107424891716
12,8.383469826527698
13,8.595758736167404
14,8.78016979778442
15,8.940363234437251
16,9.079534692290682
17,9.20042831433212
18,9.305443845495729
19,9.396682469685846
20,9.47593659430104
21,9.544779633344877
22,9.604595490709354
23,9.656552461418126
24,9.701682226997297
25,9.740881844224498
26,9.774945181393905
27,9.804531469928728
28,9.830228318093589
29,9.852562135899387
30,9.871958899197669
31,9.888803908344528
32,9.90344852056113
33,9.916165635025392
34,9.927207822694463
35,9.936811982580858
36,9.945150506257292
37,9.952388779914049
38,9.958671858194428
39,9.9641407028749
40,9.968887652475562
41,9.973006412221025
42,9.976595768250997
43,9.979710388690636
