Iteration,T_0_0,T_0_1,T_0_2,T_0_3,T_1_0,T_1_1,T_1_2,T_1_3,T_2_0,T_2_1,T_2_2,T_2_3,T_3_0,T_3_1,T_3_2,T_3_3
0,0.0,0.0,0.0,0.0,0.0,0.0,1.2499742693335778,0.8333161795557186,0.0,-1.2499742693335778,0.0,-0.4166580897778593,0.0,-0.8333161795557186,0.4166580897778593,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,10.209778096336322,1.4974234342136048,0.0,-10.209778096336322,0.0,0.0022487147483567504,0.0,-1.4974234342136048,-0.0022487147483567504,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,10.489525585665927,2.135907395523061,0.0,-10.489525585665927,0.0,0.3609851867282074,0.0,-2.135907395523061,-0.3609851867282074,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,10.809161977957132,2.3859678605671406,0.0,-10.809161977957132,0.0,0.12469518689442373,0.0,-2.3859678605671406,-0.12469518689442373,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,11.077048411398435,2.589302220500554,0.0,-11.077048411398435,0.0,-0.11184191061714444,0.0,-2.589302220500554,0.11184191061714444,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,11.305938124063093,2.761804868685851,0.0,-11.305938124063093,0.0,-0.16822897509650694,0.0,-2.761804868685851,0.16822897509650694,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,11.499057581351611,2.9059122115498783,0.0,-11.499057581351611,0.0,-0.2172410895209977,0.0,-2.9059122115498783,0.2172410895209977,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,11.668784124303038,3.0330772618671973,0.0,-11.668784124303038,0.0,-0.2598025821551017,0.0,-3.0330772618671973,0.2598025821551017,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,11.815629214351707,3.142945647370852,0.0,-11.815629214351707,0.0,-0.29677928670011544,0.0,-3.142945647370852,0.29677928670011544,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,11.943482233093135,3.2386759505394296,0.0,-11.943482233093135,0.0,-0.32890200227296384,0.0,-3.2386759505394296,0.32890200227296384,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,12.054530371749328,3.321819534629792,0.0,-12.054530371749328,0.0,-0.35680655683879403,0.0,-3.321819534629792,0.35680655683879403,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,12.151066080233335,3.3941158142499446,0.0,-12.151066080233335,0.0,-0.38104598570265125,0.0,-3.3941158142499446,0.38104598570265125,0.0
