Iteration,P_l_with_signal
0,37.49668563177031
1,1.0630399526143501
2,0.08677462134266989
3,0.28105869870313427
4,0.7065298038108871
5,1.102216616014953
6,1.395343345892689
7,1.647557169161233
8,1.8665395603691997
9,2.056764509207488
10,2.222013113090337
11,2.3655649603246434
12,2.490268795165284
13,2.59859931683585
14,2.6927063015733457
15,2.7744572662282314
16,2.845474525967714
17,2.907167390545156
18,2.960760130594242
19,3.0073162729538683
20,3.0477597059504546
21,3.0828930135977877
22,3.113413402560755
23,3.139926537942051
24,3.162958562446252
25,3.1836311213868256
26,3.2021110181332464
27,3.2182217753094657
28,3.2323132813802586
29,3.2446383405086294
30,3.2554046254460047
31,3.2647980486582924
32,3.272990322799966
33,3.2801382655865825
34,3.2863811438236197
35,3.291839539088355
36,3.2966164581175637
37,3.300799858801882
38,3.30446545321298
39,3.307679041625342
40,3.3104981625122347
41,3.3129731943006133
42,3.315148152565345
43,3.3170613734478063
44,3.3187461709865147
45,3.3202314759872267
46,3.321542429987336
47,3.3227009094290376
48,3.3237259715422014
49,3.3246342285432915
50,3.32544016391478
51,3.3261564043897454
52,3.326793957496591
