Iteration,P_l_without_signal
0,2.4999999974532594
1,2.2916666643004655
2,3.2465277745945205
3,4.130497680934381
4,4.901017549446186
5,5.570495348582011
6,6.152078339622751
7,6.657301170909678
8,7.096189475649511
9,7.4774528040333355
10,7.80865717516588
11,8.096375210695602
12,8.346316560887455
13,8.563441213437745
14,8.752057922461908
15,8.915909711747545
16,9.058248155762207
17,9.181897904928274
18,9.28931273948766
19,9.382624265347813
20,9.463684212451975
21,9.53410118373844
22,9.595272575939031
23,9.6484123120355
24,9.694574928611202
25,9.73467650481346
26,9.769512840651876
27,9.7997752495043
28,9.82606427696688
29,9.8489016184455
30,9.868740471995842
31,9.88597453186049
32,9.900945801176256
33,9.913951378891873
34,9.925249355579712
35,9.935063935141656
36,9.943589884047308
37,9.950996396397937
38,9.95743045151685
39,9.963019730696233
40,9.967875150982158
41,9.972093066279696
42,9.975757179458276
43,9.978940203402189
44,9.981705303969155
45,9.984107353491924
46,9.986194019698122
47,9.98800671165756
48,9.989581401528918
49,9.990949338413094
50,9.992137668479302
51,9.993169973670122
52,9.994066739675882
53,9.99484576246511
54,9.99552250143853
55,9.996110386214786
