step,reward
0,1.7677135
1,0.93797886
2,-1.0878018
3,-1.9262347
4,0.6104806
5,0.6423803
6,-1.3144644
7,0.30480978
8,0.25616807
9,-1.5329741
10,0.44091526
11,0.9640521
12,0.9437587
13,-1.144916
14,-0.8098207
15,-0.43621245
16,-0.77250355
17,0.35037786
18,0.15592313
19,0.8583281
20,-0.60074115
21,0.32469526
22,0.04103367
23,-0.94844764
24,-1.1605656
25,0.07935183
26,-0.16140035
27,-0.31947768
28,-0.2604348
29,-1.9630616
30,0.4937905
31,0.19222486
32,0.065424256
33,-0.23332775
34,0.5427228
35,0.33173788
36,-1.5472815
37,0.56398374
38,0.65043503
39,0.7900973
40,0.106625415
41,-0.61802286
42,-0.42333475
43,-1.3658091
44,1.8160216
45,-0.2913296
46,-0.25895664
47,0.020461218
48,-0.3047796
49,1.0900266
50,-0.5156411
51,0.31425467
52,0.64200693
53,-1.7058492
54,0.254574
55,1.5443745
56,-0.3598554
57,-0.80098855
58,-1.3985676
59,-0.8760865
60,-0.69556284
61,0.45753413
62,-2.0181873
63,-1.0749741
64,-0.38155928
65,0.3527194
66,0.5018716
67,0.44375238
68,0.37799832
69,-2.7154768
70,-0.85526603
71,0.8373843
72,-1.3014919
73,0.17035404
74,1.8192549
75,1.0853271
76,-0.71126807
77,-1.996547
78,-0.55162954
79,-0.54302305
80,0.16777177
81,0.30358028
82,0.89374655
83,0.79080135
84,-2.8276446
85,-1.8985522
86,1.0754578
87,1.7904847
88,-1.2852138
89,-1.0834858
90,-0.56851596
91,1.0667387
92,1.6253015
93,-0.80041736
94,0.4097209
95,0.4973617
96,1.262638
97,-0.05208531
98,0.64701307
99,0.60067683
100,-0.62146926
101,-1.8219773
102,-1.6826186
103,0.7987116
104,-1.8797584
105,0.7049549
106,0.56986046
107,0.696838
108,1.2425882
109,-0.31746337
110,0.78358257
111,1.0627322
112,-4.543922e-05
113,-2.2813635
114,-0.104633294
115,1.0324451
116,1.2523276
117,-0.2222455
118,0.3540906
119,-0.6771028
120,0.23852791
121,1.6025856
122,-0.86384207
123,-2.1545353
124,0.20871367
125,0.024415452
126,0.19090074
127,-0.41120517
128,1.1796492
129,-0.24540396
130,0.16276191
131,0.021204585
132,-0.19102284
133,-0.75514954
134,-2.3093991
135,0.25912994
136,0.46851486
137,-1.483497
138,0.15181786
139,-0.85169244
140,-1.9041463
141,-1.1597903
142,0.6657928
143,0.78889966
144,1.3028907
145,0.19508049
146,-1.2990391
147,-1.9981569
148,0.40602258
149,0.40447956
150,0.3186576
151,-1.3492184
152,0.72312844
153,0.6111075
154,-0.81839985
155,0.67030954
156,-2.5650916
157,-1.4788705
158,-0.7917883
159,0.5553142
160,-1.3139169
161,-1.4310215
162,0.6830968
163,0.69397837
164,-0.41695735
165,0.49646828
166,-0.44986132
167,-0.9549683
168,-1.688292
169,-0.30223835
170,1.421333
171,1.7955452
172,-0.5721295
173,-2.1181934
174,-2.0706825
175,0.4122751
176,0.4480546
177,-1.2941691
178,0.5248223
179,-0.090665676
180,1.4053245
181,-0.80353117
182,-1.7889947
183,0.64557546
184,-0.284762
185,0.38970616
186,-0.15685382
187,1.103356
188,-1.1435624
189,0.7275605
190,0.7476027
191,0.04771189
192,0.53920716
193,0.84184873
194,-0.7710815
195,0.5230969
196,1.3313249
197,0.34701598
198,0.74108064
199,0.08282784
200,0.5965726
201,1.4553653
202,-0.7981148
203,-2.1474628
204,0.16270326
205,0.27443922
206,-1.3393784
207,-0.046212286
208,1.3419178
209,-0.7651429
210,-0.92433554
211,-1.1841502
212,0.5653874
213,-0.78753436
214,-2.9461432
215,-1.809312
216,-0.12413973
217,0.542953
218,1.3646241
219,0.8575399
220,1.5570722
221,-0.346385
222,0.5938453
223,-0.31540152
224,0.32461908
225,-0.3566033
226,0.30402595
227,-1.7588421
228,0.636198
229,0.39956483
230,-0.41210952
231,0.4970287
232,0.47887218
233,-0.30692974
234,-1.3011285
235,-0.8163916
236,0.54017764
237,0.672315
238,0.8418648
239,-0.29568186
240,0.8887781
241,-0.08656522
242,0.61988044
243,1.2746661
244,-0.6951308
245,0.17115344
246,0.6088728
247,-1.4158747
248,-1.6594607
249,-2.0092645
250,0.15277766
251,-0.9373879
252,-1.0071251
253,1.3110253
254,-1.139017
255,-1.8250504
256,0.394629
257,0.032315686
258,-0.73971677
259,0.69815874
260,0.0053461427
261,0.097062536
262,0.628046
263,0.20618096
264,1.1993219
265,-0.54013777
266,0.3792629
267,0.49702325
268,-1.1753051
269,-1.9050109
270,0.5106785
271,-0.39280728
272,0.62172717
273,-0.1842962
274,0.52136654
275,-0.6971147
276,0.25285196
277,0.8955981
278,-0.70539874
279,1.0663359
280,0.31442156
281,-1.4347498
282,-0.07989497
283,-0.2959965
284,-0.71653724
285,-1.4385053
286,-1.6463408
287,0.35797796
288,1.4246776
289,-0.021687284
290,0.77717805
291,-0.59530646
292,0.73881036
293,-0.36463246
294,0.3033906
295,0.6605496
296,0.67805094
297,0.28590322
298,0.25747424
299,-0.8882392
300,1.1484503
301,-0.94725794
302,0.56884086
303,0.60873634
304,-0.7318389
305,0.5768028
306,1.0821056
307,0.09192604
308,-1.8179649
309,-0.049399693
310,0.46232486
311,0.34372306
312,-0.15956691
313,-1.0300587
314,-1.2526253
315,-0.91645366
316,-1.0859753
317,-1.0158296
318,-0.31277677
319,1.7018797
320,1.2024595
321,1.7671762
322,0.4570099
323,-0.026079556
324,0.903552
325,0.06679703
326,1.1478102
327,-0.057619188
328,-2.0401998
329,-2.0246081
330,0.8161606
331,0.73767966
332,0.4999672
333,0.74957305
334,1.6688498
335,-0.112904064
336,-1.3306082
337,1.07476
338,-0.0016613576
339,0.5310921
340,1.2743989
341,0.104795456
342,1.2479568
343,0.15334468
344,0.6666077
345,-0.72009623
346,-0.60157716
347,0.34571594
348,0.9695894
349,1.638515
350,-0.08568784
351,1.078076
352,0.4248331
353,1.321504
354,1.4381171
355,0.5097984
356,1.3757821
357,-1.0042603
358,-2.3541288
359,-0.7589394
360,0.85486597
361,1.0561838
362,0.6194593
363,0.78465044
364,1.3536114
365,1.792242
366,1.7955426
367,0.24176514
368,1.3235335
369,1.6740975
370,1.6608773
371,-0.3666003
372,-0.01998069
373,-0.24755168
374,1.1648883
375,0.08694281
376,0.7316709
377,1.4383367
378,-0.10059161
379,0.14432487
380,-0.8910854
381,-1.8236982
382,-0.7928678
383,0.82111454
384,0.8417484
385,-0.9984831
386,0.047492936
387,1.1474295
388,1.8847644
389,-0.024097364
390,0.5619038
391,1.526419
392,0.32396024
393,1.150102
394,0.0842148
395,-0.39223954
396,-0.96476066
397,-0.9607799
398,0.6514956
399,0.7054877
400,1.1628826
401,0.12814996
402,-0.49848008
403,-1.3137596
404,-1.6196847
405,0.9011359
406,-0.07760333
407,0.9309836
408,0.3755086
409,-0.1737659
410,-0.54628587
411,0.74075717
412,-0.7448952
413,0.5367658
414,-1.4848293
415,0.7776108
416,1.80668
417,0.12308429
418,0.3954326
419,0.69289273
420,0.14582652
421,-0.795295
422,-0.7755723
423,0.26659948
424,-1.2235116
425,-0.55475414
426,1.5832115
427,0.4986071
