step,reward
0,1.494419
1,-0.7723577
2,1.2479545
3,-0.40047055
4,-0.39089838
5,0.6667519
6,2.2735946
7,2.2026792
8,2.0593338
9,-0.3179117
10,-0.4029045
11,0.747901
12,1.8671168
13,0.7743807
14,-0.562529
15,0.6340657
16,-0.29420838
17,-0.12303534
18,1.6435721
19,-0.4107344
20,0.22085442
21,-0.3583142
22,0.926269
23,0.13500233
24,-0.072832756
25,-0.21177043
26,0.4747323
27,0.804843
28,1.0896845
29,0.29183012
30,2.208175
31,1.0083174
32,-0.1929684
33,1.9939271
34,0.95688796
35,0.5401887
36,-0.72804666
37,0.46014893
38,0.6743597
39,0.03115652
40,0.9835912
41,0.65201247
42,0.7137662
43,0.043269336
44,-0.6569842
45,0.5490635
46,0.31219676
47,0.12344358
48,-0.7980598
49,0.5300694
50,-0.774103
51,1.0143164
52,0.47095233
53,-0.26171172
54,0.9627176
55,-0.286835
56,0.86957055
57,1.209204
58,-0.14509206
59,1.661087
60,1.2272424
61,1.0010637
62,0.8496971
63,1.2078967
64,1.2948722
65,1.3107986
66,2.8761015
67,-0.45340922
68,0.6764401
69,-0.122902066
70,0.8745163
71,-0.12653796
72,0.55310446
73,1.1891549
74,0.37648696
75,-0.20332763
76,-0.7764841
77,0.53720784
78,1.0533371
79,1.2255571
80,-0.3699353
81,0.74496394
82,-0.37476447
83,0.47745425
84,-1.0276381
85,0.034135893
86,-0.74622595
87,0.38324404
88,2.4405236
89,0.09908572
90,-0.6526735
91,0.33838218
92,0.43819007
93,0.034555785
94,0.9423785
95,0.7321855
96,2.8689806
97,0.18690786
98,1.1849855
99,0.938716
100,0.936319
101,1.6953099
102,-0.21434975
103,0.9590438
104,-0.67891717
105,0.08456024
106,2.7723842
107,1.0917883
108,-0.14437234
109,-0.8163865
110,1.0342916
111,-0.77018553
112,0.09571772
113,-0.073268645
114,0.6235991
115,0.99023086
116,1.308293
117,-0.14308043
118,2.8577285
119,3.0280156
120,0.84823513
121,-0.31042582
122,-0.28261408
123,0.7647241
124,0.68907064
125,0.8380494
126,0.8800459
127,1.2676915
128,1.3192368
129,1.3179239
130,1.2479274
131,0.89674515
132,-0.19390668
133,-0.058892302
134,1.0439113
135,0.91638446
136,0.37337002
137,2.2661111
138,1.098193
139,-0.14486755
140,1.108838
141,1.1313229
142,1.0746248
143,1.3807192
144,1.2062714
145,1.0910378
146,1.0411621
147,1.3117287
148,-0.10486483
149,0.38371205
150,-0.22411735
151,-0.51436317
152,0.99039346
153,0.14750741
154,0.92596364
155,0.80691004
156,0.9862307
157,0.54808444
158,3.062007
159,3.2249384
160,0.37047634
161,-0.5303605
162,1.2074064
163,-0.95130235
164,0.63420415
165,1.3611277
166,3.1128173
167,1.1664013
168,0.3702588
169,-0.07022844
170,0.69815505
171,-0.33488008
172,-0.5241384
173,0.79242605
174,1.2666607
175,2.6899786
176,1.3710314
177,1.5984727
178,0.43902
179,0.85411096
180,1.1408907
181,3.0485933
182,1.2140057
183,1.3086565
184,0.75157064
185,-0.54668593
186,0.6027832
187,0.2577115
188,-0.730398
189,1.1509573
190,0.94142824
191,2.871339
192,1.2238386
193,1.5027546
194,1.0159634
195,0.75200886
196,2.813587
197,1.4091904
198,0.35216677
199,1.0459315
200,0.052653216
201,0.7583724
202,0.49990493
203,1.0993209
204,1.1131215
205,1.309768
206,1.0203145
207,0.9855087
208,1.4128834
209,-0.10130148
210,2.6701963
211,-0.31138372
212,0.78116065
213,0.23330186
214,-0.36554125
215,0.5892428
216,-0.59600747
217,-0.5698426
218,0.5788193
219,0.93366784
220,3.086359
221,0.87162614
222,0.8423306
223,1.1211054
224,-0.47214922
225,2.887823
226,3.1978228
227,0.79854935
228,0.89441
229,1.2296771
230,0.61376405
231,0.5077291
232,0.9516609
233,1.5280313
234,0.14087
235,0.8522516
236,1.3971552
237,3.0174654
238,3.1858342
239,-0.05757884
240,0.5334775
241,0.9491313
242,0.34744138
243,1.1503824
244,1.2418417
245,1.2554017
246,-0.7157348
247,-0.699505
248,1.0065802
249,1.1394249
250,0.3744698
251,0.72390926
252,1.3060564
253,1.3291061
254,2.96401
255,1.4081873
256,0.029254548
257,1.1280382
258,1.073087
259,0.6019219
260,1.3027678
261,1.2300913
262,-0.5549543
263,0.09549236
264,0.73630416
265,1.042919
266,1.2349386
267,0.52407223
268,1.2834699
269,0.8617207
270,3.1190162
271,1.1642798
272,1.3942969
273,1.2245078
274,1.3672779
275,1.0158603
276,2.9184015
277,3.2496066
278,1.2781866
279,3.126048
280,1.1752826
281,1.0018536
282,1.4387522
283,1.3309474
284,1.011267
285,2.9768167
286,-0.4111011
287,1.0509902
288,1.3070556
289,1.25413
290,2.8316064
291,1.2785794
292,1.0340225
293,0.971524
294,1.4763222
295,1.123258
296,1.2882861
297,2.949049
298,1.2119117
299,2.954285
300,1.1741899
301,3.1056976
302,0.9374485
303,1.3543373
304,1.3125769
305,0.5240857
306,0.7683446
307,0.9118324
308,1.0591244
309,0.8300589
310,1.338358
311,1.3772397
312,2.9386246
313,0.7576914
